MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
2.5954,167.85,0,0,-2.18
2.3765,133.405,0,0,-2
2.5938,167.85,1,0,-1.74
2.0289,133.405,1,0,-1.48
2.9189,187.375,1,0,-3.04
1.81,98.96,0,0,-1.29
1.9352,96.944,0,0,-1.64
1.4054,118.176,4,0,-0.43
4.3002,215.894,0,0.6,-4.57
2.5654,132.206,0,0.6,-4.37
4.3002,215.894,0,0.6,-4.63
3.6468,181.449,0,0.666666667,-4
2.61186,120.195,0,0.666666667,-3.2
4.7366,393.698,0,0.6,-6.98
4.3002,215.894,0,0.6,-5.56
2.92028,134.222,0,0.6,-4.59
3.9741,314.802,0,0.666666667,-4.5
3.6468,181.449,0,0.666666667,-3.59
2.61186,120.195,0,0.666666667,-3.31
1.0978,110.112,0,0.75,0.62
3.2116,235.906,0,0.75,-3.5
1.7762,187.862,1,0,-1.68
2.9934,147.004,0,0.75,-3.05
1.464,98.96,1,0,-1.06
1.8525,112.987,1,0,-1.6
2.6496,170.92,1,0,-2.74
1.0594,118.176,5,0,-0.77
2.8114,134.222,2,0.6,-3.28
1.503,168.108,2,0.5,-3.1
0.4051,58.08,0,0,-0.59
3.9741,314.802,0,0.666666667,-5.6
3.6468,181.449,0,0.666666667,-4.48
2.61186,120.195,0,0.666666667,-3.4
1.4112,213.105,3,0.4,-2.89
1.0978,110.112,0,0.75,0.81
1.3584,54.092,1,0,-1.87
3.2116,235.906,0,0.75,-3.54
2.9934,147.004,0,0.75,-3.04
1.8541,112.987,2,0,-1.62
0.4903,132.232,2,0,-1.46
1.9648,114.094,0,0.75,-2
3.45664,156.228,0,0.833333333,-4.29
1.503,168.108,2,0.5,-2.29
1.0978,110.112,0,0.75,-0.17
1.8926,80.13,0,0,-2.06
3.2116,235.906,0,0.75,-4.07
2.9934,147.004,0,0.75,-3.27
2.8114,134.222,2,0.6,-3.75
1.9648,114.094,0,0.75,-1.97
3.45664,156.228,0,0.833333333,-4.14
1.503,168.108,2,0.5,-3.39
1.7485,68.119,2,0,-2.09
3.45664,156.228,0,0.833333333,-4.679
2.1386,82.146,3,0,-2.68
2.783,180.21,0,1,-2.68
2.7441,154.253,0,0,-1.74
4.2693,302.458,0,0,-3.999
2.9702,194.237,0,0.933333333,-4.22
2.0373,137.02,1,0,-2.43
2.1814,137.02,2,0,-2.37
3.3517,179.101,5,0,-4.43
2.9616,165.074,4,0,-3.81
3.6023,207.07,0,0.909090909,-4.35
3.7418,193.128,6,0,-5.06
2.5715,151.047,3,0,-3.08
1.7913,122.993,1,0,-1.73
0.7788,74.123,2,0,0
1.5824,56.108,1,0,-1.94
1.0296,54.092,0,0,-1.24
1.6201,143.411,1,0,-1.32
1.8812,92.569,1,0,-2
2.0253,92.569,2,0,-2.03
3.1956,134.65,5,0,-4
2.8055,120.623,4,0,-3.12
3.4932,162.619,0,0.909090909,-3.93
2.4154,106.596,3,0,-2.73
1.6352,78.542,1,0,-1.47
3.1194,158.285,8,0,-3.63
3.923,140.27,7,0,-5.51
3.8996,186.339,10,0,-4.8
3.4022,156.228,1,0.833333333,-4.17
1.9491,116.204,5,0,-1.81
2.7527,98.189,4,0,-3.73
2.1999,96.173,3,0,-3.01
5.46,242.447,14,0,-7
1.559,102.177,4,0,-1.24
2.3626,84.162,3,0,-3.23
1.3334,100.161,3,0,-0.59
1.8098,82.146,2,0,-2.36
2.2215,184.02,2,0,-2.96
3.3918,226.101,5,0,-4.81
3.4444,254.07,0,0.909090909,-4.55
1.8314,169.993,1,0,-2.29
2.5067,96.173,0,0,-3.27
3.56622,180.25,0,0.857142857,-5.22
3.14822,142.201,0,0.909090909,-3.7
4.30142,192.261,0,0.933333333,-5.85
-0.9264,126.115,0,0.666666667,-0.807
2.5454,144.173,0,0.909090909,-2.22
2.422,143.189,0,0.909090909,-1.92
2.748,173.171,1,0.769230769,-3.54
0.6731,89.094,2,0,-0.8
2.7293,144.258,7,0,-3.01
3.5329,126.243,6,0,-5.05
2.9801,124.227,5,0,-4.24
6.2402,270.501,16,0,-8.4
2.3392,130.231,6,0,-2.39
3.1428,112.216,5,0,-4.44
2.59,110.2,4,0,-3.66
5.0699,228.42,13,0,-6.35
1.1689,88.15,3,0,-0.6
1.9725,70.135,2,0,-2.68
1.4197,68.119,1,0,-1.64
1.7399,122.167,1,0.666666667,-0.92
0.3887,60.096,1,0,0.62
4.6798,214.393,12,0,-5.84
9.8876,498.662,1,0.545454545,-11.6
8.5808,429.772,1,0.6,-9.16
7.274,360.882,1,0.666666667,-8.01
8.5808,429.772,1,0.6,-9.15
7.274,360.882,1,0.666666667,-8.6
5.9672,291.992,1,0.75,-7.28
7.9274,395.327,1,0.631578947,-7.92
7.9274,395.327,1,0.631578947,-8.94
7.274,360.882,1,0.666666667,-7.68
6.6206,326.437,1,0.705882353,-7.21
6.6206,326.437,1,0.705882353,-7.43
7.274,360.882,1,0.666666667,-7.42
5.9672,291.992,1,0.75,-6.47
2.6885,100.205,0,0,-4.36
7.274,360.882,1,0.666666667,-8.56
7.274,360.882,1,0.666666667,-8.71
5.9672,291.992,1,0.75,-6.57
6.6206,326.437,1,0.705882353,-7.32
3.0786,114.232,1,0,-4.74
3.4687,128.259,2,0,-5.05
5.9672,291.992,1,0.75,-7.39
1.4149,102.177,2,0,-1.04
2.4425,86.178,0,0,-3.55
2.8326,100.205,1,0,-4.36
